,STATE,Top_Words
0,Alabama,"message, reflects, verbally, 29, april, arrests, conveyed, demonstration, following, intimidating"
1,Alaska,"government, anchorage, anti, lgbtq, park, received, voicemail, breaching, comments, containing"
2,Arizona,"maricopa, death, targeting, media, social, claims, fraud, email, august, july"
3,Arkansas,"judicial, benton, kill, march, message, threatening, 10, accusing, content, exact"
4,California,"targeting, school, government, reflects, death, perpetrator, january, meeting, san, local"
5,Colorado,"personal, school, adams, denver, judicial, sent, targeting, death, grievance, march"
6,Connecticut,"targeting, enforcement, law, school, death, hartford, multiple, reflects, sent, declined"
7,District of Columbia,"details, district, end, local, specific, washington, 31, allowing, announced, april"
8,Florida,"death, sent, containing, threatening, threatened, unidentified, enforcement, law, nazi, october"
9,Florida ,"beach, containing, content, death, information, july, known, left, message, motivation"
10,Georgia,"multiple, fulton, death, targeting, individuals, reflects, posted, judicial, october, city"
11,Hawaii,"government, group, paramilitary, 12, affiliated, army, called, claiming, contained, containing"
12,Idaho,"bundy, people, rights, arrest, ammon, group, associated, enforcement, law, network"
13,Illinois,"cook, judicial, targeting, death, local, received, email, multiple, sent, april"
14,Indiana,"media, social, posted, anti, containing, death, language, lgbtq, messages, january"
15,Iowa,"racist, comments, johnson, meeting, local, conflict, directed, group, individuals, israel"
16,Kansas,"death, school, unidentified, controversial, johnson, posted, issues, targeting, 15, account"
17,Kentucky,"judicial, method, 21, 28, august, case, hardin, legal, nature, nelson"
18,Louisiana,"parish, april, death, details, july, known, motivation, online, orleans, phone"
19,Maine,"cumberland, school, targeting, january, display, individuals, occurred, received, anti, details"
20,Maryland,"baltimore, racist, targeting, 16, antisemitic, death, included, january, manipulated, school"
21,Massachusetts,"targeting, essex, antisemitic, reflects, december, october, received, sent, 12, address"
22,Michigan,"targeting, reflects, ottawa, death, judicial, october, multiple, threatened, posted, case"
23,Minnesota,"email, received, hennepin, targeting, receiving, multiple, reflects, threatening, 18, anonymous"
24,Mississippi,"judicial, messages, sent, text, containing, information, known, 12, calhoun, death"
25,Missouri,"local, st, louis, received, reflects, related, targeting, details, specific, 12"
26,Montana,"local, online, blaine, decision, january, 19, concerns, intimidating, jobs, days"
27,Nebraska,"19, buffalo, court, earlier, enforcement, family, grievance, law, march, media"
28,Nevada,"washoe, judicial, personal, clark, court, grievance, related, case, family, motive"
29,New Hampshire,"january, amid, appointed, child, device, grafton, harassment, lgbtq, resigned, unnamed"
30,New Jersey,"multiple, rights, sent, judicial, targeting, ocean, reflects, emails, email, constitutional"
31,New Mexico,"targeting, threatening, judicial, april, bernalillo, death, claims, residence, sent, visited"
32,New York,"new, york, targeting, death, judicial, president, trump, criminal, threatening, donald"
33,North Carolina,"documents, reflects, haywood, multiple, calls, citizen, court, email, included, june"
34,North Dakota,"local, messages, anonymous, containing, death, divide, issue, judicial, october, racist"
35,Ohio,"local, targeting, meeting, reflects, clark, death, immigration, topics, september, multiple"
36,Oklahoma,"lgbtq, oklahoma, community, involvement, school, anti, harassment, incident, june, august"
37,Oregon,"december, 26, 30, charges, journalist, leaning, right, yamhill, incidents, sent"
38,Pennsylvania,"targeting, judicial, reflects, death, threatened, july, multiple, received, local, details"
39,Rhode Island,"damage, employment, harassment, intended, items, prior, providence, reflects, vehicle, visited"
40,South Carolina,"harassed, poll, letter, october, school, york, claims, fraud, july, polling"
41,South Dakota,"22, charles, containing, death, decisions, email, judicial, mix, october, regarding"
42,Tennessee,"davidson, meeting, defense, goyim, league, affiliated, gdl, harassed, 16, attendees"
43,Texas,"school, email, death, multiple, sent, 22, containing, information, motivation, targeting"
44,Utah,"lake, salt, april, death, enforcement, law, legal, february, issues, personal"
45,Vermont,"march, reasons, received, 15, 28, april, chittenden, details, individuals, message"
46,Virginia,"targeting, posted, school, fairfax, cases, death, december, intimidating, judicial, legal"
47,Washington,"personal, spokane, reflects, targeting, grievance, public, immigration, july, june, issues"
48,West Virginia,"judicial, death, 22, family, legal, proceedings, targeting, threatened, april, case"
49,Wisconsin,"judicial, targeting, death, family, received, related, threatening, march, school, 21"
50,Wyoming,"sent, email, grievance, judicial, natrona, personal, grievances, laramie, mail, march"
